risk_threshold,confidence_threshold,risk_accuracy,precision,recall,false_negative_rate,false_positive_rate,f1,expected_fast_selection_rate,expected_accurate_selection_rate,expected_oracle_gap
0.6,0.2,0.445,0.24555160142348753,0.8734177215189873,0.12658227848101267,0.660436137071651,0.38333333333333336,0.2975,0.7025,0.025
0.6,0.3,0.445,0.24555160142348753,0.8734177215189873,0.12658227848101267,0.660436137071651,0.38333333333333336,0.2975,0.7025,0.025
0.6,0.4,0.445,0.24555160142348753,0.8734177215189873,0.12658227848101267,0.660436137071651,0.38333333333333336,0.2975,0.7025,0.025
0.6,0.5,0.445,0.24555160142348753,0.8734177215189873,0.12658227848101267,0.660436137071651,0.38333333333333336,0.2975,0.7025,0.025
0.6,0.6,0.445,0.24555160142348753,0.8734177215189873,0.12658227848101267,0.660436137071651,0.38333333333333336,0.2975,0.7025,0.025
0.6,0.7,0.445,0.24555160142348753,0.8734177215189873,0.12658227848101267,0.660436137071651,0.38333333333333336,0.295,0.705,0.025
0.6,0.8,0.445,0.24555160142348753,0.8734177215189873,0.12658227848101267,0.660436137071651,0.38333333333333336,0.2925,0.7075,0.0225
0.6,0.9,0.445,0.24555160142348753,0.8734177215189873,0.12658227848101267,0.660436137071651,0.38333333333333336,0.23,0.77,0.005
0.6,0.95,0.445,0.24555160142348753,0.8734177215189873,0.12658227848101267,0.660436137071651,0.38333333333333336,0.155,0.845,0.0
0.65,0.0,0.4475,0.2427536231884058,0.8481012658227848,0.1518987341772152,0.6510903426791277,0.3774647887323943,0.31,0.69,0.03
0.65,0.1,0.4475,0.2427536231884058,0.8481012658227848,0.1518987341772152,0.6510903426791277,0.3774647887323943,0.31,0.69,0.03
0.65,0.2,0.4475,0.2427536231884058,0.8481012658227848,0.1518987341772152,0.6510903426791277,0.3774647887323943,0.31,0.69,0.03
0.65,0.3,0.4475,0.2427536231884058,0.8481012658227848,0.1518987341772152,0.6510903426791277,0.3774647887323943,0.31,0.69,0.03
0.65,0.4,0.4475,0.2427536231884058,0.8481012658227848,0.1518987341772152,0.6510903426791277,0.3774647887323943,0.31,0.69,0.03
0.65,0.5,0.4475,0.2427536231884058,0.8481012658227848,0.1518987341772152,0.6510903426791277,0.3774647887323943,0.31,0.69,0.03
0.65,0.6,0.4475,0.2427536231884058,0.8481012658227848,0.1518987341772152,0.6510903426791277,0.3774647887323943,0.31,0.69,0.03
0.65,0.7,0.4475,0.2427536231884058,0.8481012658227848,0.1518987341772152,0.6510903426791277,0.3774647887323943,0.3075,0.6925,0.03
0.65,0.8,0.4475,0.2427536231884058,0.8481012658227848,0.1518987341772152,0.6510903426791277,0.3774647887323943,0.305,0.695,0.0275
0.65,0.9,0.4475,0.2427536231884058,0.8481012658227848,0.1518987341772152,0.6510903426791277,0.3774647887323943,0.235,0.765,0.005
0.65,0.95,0.4475,0.2427536231884058,0.8481012658227848,0.1518987341772152,0.6510903426791277,0.3774647887323943,0.155,0.845,0.0
0.7,0.0,0.4625,0.24436090225563908,0.8227848101265823,0.17721518987341772,0.6261682242990654,0.37681159420289856,0.335,0.665,0.035
0.7,0.1,0.4625,0.24436090225563908,0.8227848101265823,0.17721518987341772,0.6261682242990654,0.37681159420289856,0.335,0.665,0.035
0.7,0.2,0.4625,0.24436090225563908,0.8227848101265823,0.17721518987341772,0.6261682242990654,0.37681159420289856,0.335,0.665,0.035
0.7,0.3,0.4625,0.24436090225563908,0.8227848101265823,0.17721518987341772,0.6261682242990654,0.37681159420289856,0.335,0.665,0.035
0.7,0.4,0.4625,0.24436090225563908,0.8227848101265823,0.17721518987341772,0.6261682242990654,0.37681159420289856,0.335,0.665,0.035
0.7,0.5,0.4625,0.24436090225563908,0.8227848101265823,0.17721518987341772,0.6261682242990654,0.37681159420289856,0.335,0.665,0.035
